"Diseases","Type of Treatment","List of suggested Treatment/ Medicine","Names of the Doctors ","Address","specialization "
"acquired immuno-deficiency syndrome","The recommended treatment for HIV is a combination of three or more HIV drugs. This treatment is called highly active anti-retroviral therapy or HAART. The three types of FDA-approved antiretroviral drugs are: Nucleoside/neucleotide reverse transcriptase inhibitors (NRTIs)","These drugs interrupt the virus from duplicating, which may slow the spread of HIV in the body. They include:

Abacavir (Ziagen, ABC)
Didanosine (Videx, dideoxyinosine, ddI)
Emtricitabine (Emtriva, FTC)
Lamivudine (Epivir, 3TC)
Stavudine (Zerit, d4T)
Tenofovir (Viread, TDF)
Zalcitabine (Hivid, ddC)
Zidovudine (Retrovir, ZDV or AZT)
Combinations of NRTIs make it possible to take lower doses and maintain effectiveness. These drugs include Combivir (Zidovudine and Lamivudine), Trizivir (Zidovudine, Lamivudine and Abacavir), Epzicom (Abacavir and Lamivudine) and Truvada (Tenofovir and Lamivudine). We expect more combination drugs to be available in the future.","Valter Tarantini","Via Loreto 69,Monte Urano, Ascoli Piceno,63015, Italy","Internist."
"osteoporosis","Treatment of osteoporosis may involve medication to strengthen bones, such as alendronate (Fosamax®), risedronate (Actonel®), calcitonin (Micalcin®), and raloxifene (Evista®","For both men and women at increased risk of fracture, the most widely prescribed osteoporosis medications are bisphosphonates. Examples include:

Alendronate (Binosto, Fosamax)
Ibandronate (Boniva)
Risedronate (Actonel, Atelvia)
Zoledronic acid (Reclast, Zometa)","Guido Riva","Via A.G. Alaimo 26, Marzocca Di Senigallia, Ancona,60017, Italy","endocrinologist"
"hepatitis","About 25 percent of people with chronic hepatitis B can be cured with a drug called pegylated interferon-alpha, which is taken as a weekly injection for six months. The alternative is suppression of the virus with oral medications, such as lamivudine and adefovir","Treatment for chronic hepatitis B may include: Antiviral medications. Several antiviral medicines — including entecavir (Baraclude), tenofovir (Viread), lamivudine (Epivir), adefovir (Hepsera) and telbivudine — can help fight the virus and slow its ability to damage your liver.","Gaetana Trimarchi","Via Pisanelli 62,Filetto, Ravenna,48010, Italy.","gastroenterologists"
"dehydration","The best way to treat dehydration is to rehydrate the body by drinking plenty of fluids, such as water, diluted squash or diluted fruit juice. A sweet drink can help to replace lost sugar, and a salty snack can help to replace lost salt.","Diuretics. Also called water pills, diuretics remove salt and water from your body when you pee. If you have high blood pressure or heart problems, your doctor may suggest you take them because they cut the amount of fluid in your blood vessels.","Norman Jones","Via Antonio da Legnago 27,  Motticella, Reggio Calabria,89030, Italy
","Urologist"
"lymphaticdiseases","Treatment options may include:
Exercise. Exercise helps to restore flexibility and strength, and it improves drainage. 
Bandage. Wearing a customized compression sleeve or elastic bandage may help to prevent an accumulation of fluid.
Arm pump.
Diet.
Keep the arm raised. 
Infection Preventio","vincristine (Oncovin) bleomycin (Blenoxane) etoposide (Etopophos, Toposar, VePesid, VP-16) prednisone (Rayos, Prednisone Intensol)","Roberto Mileti","  
  Via Licola Patria 53, Pietrastornina, Avellino,83015, Italy","Lymphologists"
"sicklecellanemia","A blood and bone marrow transplant is currently the only cure for some patients who have sickle cell disease. After early diagnosis, your healthcare provider may recommend medicines or transfusions to manage complications, including chronic pain.","Voxelotor treats sickle cell disease in adults and children 4 years old and older. 
Crizanlizumab-tmca is approved for adults and children 16 years old and older who have sickle cell disease. 
Hydroxyurea is an oral medicine that has been shown to reduce or prevent several complications of sickle cell disease.","Marino Signori"," Via San Domenico 150,Gummer,  Bolzano,39050, Italy","hematologist"
"pancytopenia","
Treatments for pancytopenia include: drugs to stimulate blood cell production in your bone marrow. blood transfusions to replace red blood cells, white blood cells, and platelets. antibiotics to treat an infection","chemotherapy treatments, including methotrexate, carbamazepine, and chloramphenicol. certain medications, such as trimethoprim-sulfamethoxazole (Bactrim)","Gianpaolo Sbardolini","
  Via San Pietro Ad Aram 37, Vimodrone,   Milano,20090, Italy","hematologist"
"coronaryheartdisease","Coronary artery bypass grafting (CABG) improves blood flow to the heart by using normal arteries from the chest wall and veins from the legs to bypass the blocked arteries. Surgeons typically use CABG to treat people who have severe coronary artery disease in multiple coronary arteries.","Beta blockers, including atenolol, bisoprolol, metoprolol and nebivolol, are often used to prevent angina and treat high blood pressure. They work by blocking the effects of a particular hormone in the body, which slows down your heartbeat and improves blood flow.","Marcello Cifola","
  Via del Viminale 146, Domus De Maria,Cagliari,09010, Italy","Cardiology"
"thrombus","Blood-thinners. These medications keep your blood from clotting too easily. 
Thrombolytic therapy. Thrombolytic therapy uses medications to dissolve blood clots. 
Thrombectomy. One of the most direct ways to remove a clot is for a surgeon to access it and remove it.","Anticoagulants, such as heparin, warfarin, dabigatran, apixaban, and rivaroxaban, are medications that thin the blood and help to dissolve blood clots.","Gennaro Annarumma","
 Via Goffredo Mameli 145,Stipes, Rieti,,02020, Italy","hematologist"
"colitis","f you have mild-to-moderate ulcerative colitis, you'll usually be offered a 5-ASA to take in suppository or enema form. If your symptoms do not improve after 4 weeks, you may be advised to take 5-ASA in tablet or capsule form as well. These medicines rarely have side effects, but some people may experience: headaches.","Types of biologics used to treat ulcerative colitis include: Infliximab (Remicade), adalimumab (Humira) and golimumab (Simponi). These medications, called tumor necrosis factor (TNF) inhibitors, work by neutralizing a protein produced by your immune system.","Francesco Consigliere","
  Corso Vittorio Emanuale 37,  Limestre Pistoiese,  Pistoia,51022, Italy
","gastroenterologist"
"schizophrenia","Schizophrenia is usually treated with an individually tailored combination of talking therapy and medicine. Most people with schizophrenia are treated by community mental health teams (CMHTs)","What is the main drug used to treat schizophrenia?
Haloperidol, fluphenazine, and chlorpromazine are known as conventional, or typical, antipsychotics and have been used to treat schizophrenia for years.","Alberto Paolini","
Via Piccinni 29,  Fragneto L'abat, Benevento,82020, Italy","physchiatrist"
"psychoticdisorder","Antipsychotic medicines, also known as neuroleptics, are usually recommended as the first treatment for psychosis. They work by blocking the effect of dopamine, a chemical that transmits messages in the brain","Older antipsychotics include:
Chlorpromazine (Thorazine)
Fluphenazine (Prolixin)
Haloperidol (Haldol)
Loxapine (Loxitane)
Perphenazine (Trilafon)
Thioridazine (Mellaril)","Riccardo Paris","
  Largo Febo 50, Fasano Del Garda,Brescia,25083, Italy","physchiatrist"
"overloadfluid","Treatment options may include:
Diuretics — medicines that help you get rid of extra fluid.
Dialysis — a treatment that filters your blood through a machine.
Paracentesis — a procedure that uses a small tube to drain fluid from your abdomen.
Restricting salt intake.
Checking your weight daily.","Diuretics. Diuretics, such as furosemide (Lasix), decrease the pressure caused by excess fluid in the heart and lungs.","Dominique Musafiri","  Via Moiariello 38,San Vittore, Cuneo,12040, Italy","General practitioners"
"paranoia","The most common form of talking therapy for paranoia is cognitive behavioural therapy (CBT). During CBT, you will examine the way you think and the evidence for your beliefs and look for different possible interpretations. CBT can also help reduce worry and anxiety that may influence and increase feelings of paranoia.",,"Italo Nosari","
  Vicolo Tre Marchetti 31,Mosnigo,  Treviso,31010","physchiatrist"
"encephalopathy","Medications to stop seizures or reduce ammonia levels.
Stopping a medication you've been taking.
Changing the foods you eat.
Nutritional supplements.
Dialysis or an organ transplant if liver or kidney problems are causing your condition.","The two medications most commonly used to treat hepatic encephalopathy include lactulose, which is an osmotic laxative; and rifaximin, which is an antibiotic.","Gianroberto Monti"," Via del Viminale 148,  Macchiareddu, Cagliari,09032, Italy","neurologists"
"deepveinthrombosis","The standard of care for the treatment of acute DVT is blood thinning medication (anticoagulation) such as heparin and warfarin (Coumadin).","These blood thinners include:
Apixaban (Eliquis)
Edoxaban (Lixiana, Savaysa)
Rivaroxaban (Xarelto)","Luciano Riva","Via Galvani 4,  Cantonazzo,Rovigo,45100, Italy"," hematologist."
"personalitydisorder","Psychotherapy, also called talk therapy, is the main way to treat personality disorders.

However, several types of psychiatric medications may help with various personality disorder symptoms.
Antidepressants. 
Mood stabilizers. 
Antipsychotic medications.
Anti-anxiety medications.","Antipsychotic medications such as Risperdal and Zyprexa can help improve distorted thinking. Haldol may help for severe behavior problems. Other medications: Anti-anxiety medications such as Xanax, Klonopin and mood stabilizers such as lithium are used to relieve symptoms associated with personality disorders.","Federico Vertemati","
Via Alessandro Manzoni 82, Fossarmato, Pavia,27010, Italy","physchiatrist"
"insufficiency renal","Treatment for kidney failure
Dialysis.
Kidney transplant.
Medical management.
Medications to manage kidney disease.
Clinical trials for kidney disease.
Lifestyle and wellness with kidney disease","The use of ACE inhibitors and ARBs has been found to slow progression of CKD and is considered first-line treatment in patients with albuminuria.","Giovanni Battista Tommasino","
  Via Lagrange 68, Onano,  Viterbo,01010, Italy","nephrologist"
"degenerativepolyarthritis","Treatment programs for degenerative arthritis usually employ a combination of physical therapy exercises and medical therapy, including at times injections, to reduce pain and maintain mobility and flexibility of the joints. In late stage disease, surgery for arthritis may also be an option.","Medications include topical creams, acetaminophen, NSAIDs (e.g. Advil or Motrin), glucosamine, analgesics or opioids and cortisone injections.","Paolo Peroni","  Via Raffaele Conforti 72, Scurtabo,La Spezia, Italy, 19020","Rheumatologists"
"osteomyelitis","The most common treatments for osteomyelitis are surgery to remove portions of bone that are infected or dead, followed by intravenous antibiotics given in the hospital.
Surgery
Drain the infected area. 
Remove diseased bone and tissue. 
Restore blood flow to the bone. 
Remove any foreign objects. 
Amputate the limb","Primary treatment is a combination of penicillinase-resistant synthetic penicillin and a third-generation cephalosporin. Alternate therapy is vancomycin or clindamycin and a third-generation cephalosporin, particularly if methicillin-resistant S aureus (MRSA) is considered likely","Riccardo Zucco","
  Via Raffaele Conforti 24, Fagnano Alto, L'Aquila,67020, Italy","orthopaedic surgeons "
"melanoma","Surgery to remove the tumor is the primary treatment of all stages of melanoma. A wide local excision is used to remove the melanoma and some of the normal tissue around it. Skin grafting (taking skin from another part of the body to replace the skin that is removed) may be done to cover the wound caused by surgery.Sep 6, 2022","Aldesleukin.
Binimetinib.
Braftovi (Encorafenib)
Cobimetinib Fumarate.
Cotellic (Cobimetinib Fumarate)
Dabrafenib Mesylate.
Dacarbazine.
Encorafenib.","Giandomenico Iannucci","
  Via Carlo Cattaneo 68, Calangianus , Sassari,07023, Italy","dermatologist"
"respiratoryfailure","Treatments for respiratory failure may include oxygen therapy, medicines, and procedures to help your lungs rest and heal. Chronic respiratory failure can often be treated at home. If you have serious chronic respiratory failure, you may need treatment in a long-term care center.","Diuretics,Nitrates.Opioid Analgesics.
Inotropic Agents.
Beta2 Agonists.
Xanthine Derivatives.
Anticholinergics, Respiratory.
Corticosteroids.","Ghvont Mrad"," Lungodora Napoli 90, Castelgomberto,  Vicenza,36070, Italy","pulmonologist "
"gastritis","Acid blockers — also called histamine (H-2) blockers — reduce the amount of acid released into your digestive tract, which relieves gastritis pain and encourages healing. Available by prescription or over the counter, acid blockers include famotidine (Pepcid), cimetidine (Tagamet HB) and nizatidine (Axid AR).","Medications used to treat gastritis include: Antibiotic medications to kill H. pylori. For H. pylori in your digestive tract, your doctor may recommend a combination of antibiotics, such as clarithromycin (Biaxin XL) and amoxicillin (Amoxil, Augmentin, others) or metronidazole (Flagyl), to kill the bacterium.","Gianbattista Bertolasi","
  Piazza Trieste e Trento 33, Mussotto , Cuneo,12051, Italy","gastroenterologis"
"hemorrhoids","Apply an over-the-counter hemorrhoid cream or suppository containing hydrocortisone, or use pads containing witch hazel or a numbing agent. Soak regularly in a warm bath or sitz bath. Soak your anal area in plain warm water for 10 to 15 minutes two to three times a day. A sitz bath fits over the toilet.","Hydrocortisone, a topical steroid that can relieve swelling and itching. Pramoxine or lidocaine, topical pain relievers that can numb the affected area. Phenylephrine, which narrows blood vessels in the affected area.","Silvio Lussana","  Via Santa Lucia 29,  Citta' Di Castello, Perugia,06012, Italy","gastroenterologis"
"delirium","Healthcare providers may consider antipsychotic medications for treating hyperactive delirium because they reduce agitation and combativenessAntipsychotics: In general, antipsychotics are considered as the medication of choice in the management of delirium.",,"Giuseppe Aldo Spinazzola","Via Sergente Maggiore 78, Trevozzo,Piacenza,29010, Italy","geriatrician"
"candidiasis","Treatment. If you have vaginal candidiasis, likely you will use antifungal medicine to treat it. Often, the treatment is an antifungal medicine applied inside the vagina or a single dose of fluconazole taken by mouth.","diasisThe standard recommended dose for most Candida infections is fluconazole at 800 mg as the loading dose, followed by fluconazole at a dose of 400 mg/d either intravenously or orally for at least 2 weeks of therapy after a demonstrated negative blood culture result or clinical signs of improvement","Vincenzo Emmi","lungodora Napoli,104,Crespadoro,Vicenza,36070, Italy","Dermotology"
"infection","Antibiotics are used to treat or prevent some types of bacterial infection. They kill bacteria or prevent them from reproducing and spreading.","cephalexin.
ciprofloxacin.
clindamycin.
metronidazole.
azithromycin.
sulfamethoxazole and trimethoprim.
amoxicillin and clavulanate.
levofloxacin.","Carlo Amodio"," Via Donnalbina 89,Arzana,Nuoro, 08040 Italy.","An Infectious disease doctor(MD)"
"failurekidney","There are two treatment options for kidney failure: dialysis (hemodialysis or peritoneal dialysis) and kidney transplantation. Talk with your family so you can decide which treatment will best fit your lifestyle needs. Also you always have the choice to change to a different type of treatment in the future","Diuretics (water pills): medicines that help your kidneys get rid of extra salt and water and help you urinate (pee) more. Aldosterone receptor blockers are a type of diuretic to treat congestive heart failure (CHF),ACE inhibitors (Angiotensin-converting enzyme inhibitors),Beta blockers: medicines that lower blood pressure by blocking the hormone adrenaline, which helps your heart beat more slowly and with less force,Potassium binders: medicines to help your body get rid of extra potassium. ","Adelina Alvino De Martino","Corso Novara 21, Porto Frailis, Nuoro, 08041, Italy.","nephrologist"
"failureheart","Coronary bypass surgery. You may need this surgery if severely blocked arteries are causing your heart failure. 
Heart valve repair or replacement. 
Implantable cardioverter-defibrillator (ICD). 
Cardiac resynchronization therapy (CRT). 
Ventricular assist device (VAD). 
Heart transplant.","Loop diuretics should be used as first-line agents, with thiazides added for refractory fluid overload. Diuretic treatment should be combined with a low-salt diet,8 a β-blocker, and an ACE inhibitor. The practitioner should begin with oral furosemide, 20 to 40 mg once daily.","Orlandini Giancarlo"," Via Pisanelli 147,Acciarello, Reggio Calabria,89010, Italy.","Cardiology"
"primary carcinoma of thel ivercells","t may include surgery, chemotherapy, using heat to destroy the cancer (thermal ablation), using targeted medicines, and radiotherapy. The specialist care team looking after you will: explain the treatments, benefits and side effects.","The most common chemotherapy drugs for treating liver cancer include: Gemcitabine (Gemzar) Oxaliplatin (Eloxatin) Cisplatin","Ravasio Luigi","Via Scuderlando 99,Tordinia,Teramo
 64040, Italy","oncologist"
"kidney failure acute","If toxins build up in your blood, you may need temporary hemodialysis often referred to simply as dialysis — to help remove toxins and excess fluids from your body while your kidneys heal. Dialysis may also help remove excess potassium from your body","Diuretics (water pills): medicines that help your kidneys get rid of extra salt and water and help you urinate (pee) more. Aldosterone receptor blockers are a type of diuretic to treat congestive heart failure (CHF),ACE inhibitors (Angiotensin-converting enzyme inhibitors),Beta blockers: medicines that lower blood pressure by blocking the hormone adrenaline, which helps your heart beat more slowly and with less force,Potassium binders: medicines to help your body get rid of extra potassium. ","Antonio Pouchè","Via Croce Rossa 27,Fordongianus, Oristano, 09083, Italy","nephrologist"
"ischemia","Treatment for myocardial ischemia involves improving blood flow to the heart muscle. Treatment may include medications, a procedure to open blocked arteries (angioplasty) or bypass surgery. Making heart-healthy lifestyle choices is important in treating and preventing myocardial ischemia","Aspirin. A daily aspirin or other blood thinner can reduce your risk of blood clots, which might help prevent blockage of your coronary arteries. 
Nitrates.
Beta blockers. 
Calcium channel blockers. 
Cholesterol-lowering medications. 
Angiotensin-converting enzyme (ACE) inhibitors. 
Ranolazine (Ranexa).","Lorenzo Vella"," Via Guantai Nuovi 28,Giugliano In Campania, Napoli, 80014  Italy","Occupational medicinevascular neurologist"
"failureheartcongestive","ACE inhibitors or ARB drugs improve heart function and life expectancy. Digitalis glycosides strengthen the heart's contractions. Anticoagulants or antiplatelets such as aspirin help prevent blood clots. Beta-blockers improve heart function and chances of living longer.","Diuretics. Diuretics (water pills) make you pass more urine and help relieve ankle swelling and breathlessness caused by heart failure. There are many different types of diuretic, but the most widely used for heart failure are furosemide (also called frusemide) and bumetanide.","I. S."," Via Giulio Petroni 53,Palazzago
 Bergamo,24030,Italy","Cardiology"
"hypercholesterolemia","Exercising more.
Staying at a healthy weight.
Eating foods low in saturated fat.
Lowering your stress level.
Taking cholesterol-lowering medications.
Avoiding tobacco products.
Controlling high blood pressure and blood sugar","Options include: Statins. These drugs block a substance the liver needs to make cholesterol. Examples include atorvastatin (Lipitor), fluvastatin (Lescol XL), lovastatin (Altoprev), pitavastatin (Livalo), pravastatin, rosuvastatin (Crestor) and simvastatin (Zocor).","Mario Ronchi","Via Nicolai 23,Sottocastello, Belluno, Italy","Cardiology"
"sepsis(invertebrate)","Antibiotics. Treatment with antibiotics begins as soon as possible. 
Fluids added to veins. The use of intravenous fluids begins as soon as possible.
Vasopressors. Vasopressors narrow blood vessels and help increase blood pressure.","Preferred empiric monotherapy includes meropenem, imipenem, piperacillin-tazobactam, or tigecycline. Empiric combination therapy includes metronidazole plus levofloxacin, aztreonam, or a third- or fourth-generation cephalosporin.","Giuseppe Vasta","Via Loreto 135, Monterubbiano, Ascoli Piceno,63026 Italy"," Medicine specialist and an Infectious Disease expert"
"carcinoma of lung","Surgery. An operation where doctors cut out cancer tissue.
Chemotherapy. Using special medicines to shrink or kill the cancer. 
Radiation therapy. Using high-energy rays (similar to X-rays) to kill the cancer.
Targeted therapy. Using drugs to block the growth and spread of cancer cells.","Tremelimumab-actl.
Trexall (Methotrexate Sodium)
Vizimpro (Dacomitinib)
Vinorelbine Tartrate.
Xalkori (Crizotinib)
Yervoy (Ipilimumab)
Zirabev (Bevacizumab)
Zykadia (Ceritinib)","Nabeel Khair"," Piazza Garibaldi 52,Sorbo Di Tagliacozzo, L'Aquila,67060, Italy"," pulmonologis"
"benign prostatic hyper trophy","Treatment for BPH has long been medications and procedures, such as lasers or an electric loop, which burn the prostate from the inside out. But, now, a relatively new convective water therapy treatment uses steam to make the prostate smaller."," Your doctor might suggest one of these alpha blockers:

Alfuzosin (Uroxatral)
Doxazosin (Cardura)
Prazosin (Minipress)
Silodosin (Rapaflo)
Tamsulosin (Flomax)
Terazosin (Hytrin)The best-studied, most commonly used supplements to treat BPH are:

Beta-sitosterol
Pygeum
Rye grass
Saw palmetto","Marzio Carlo Zennaro"," Via Roma 94,Venagrande, Ascoli Piceno, 63040 Italy","urologist"
"delusion","reatment for delusional disorder most often includes psychotherapy (talk therapy) and medication, but delusional disorder is highly resistant to treatment with medication alone.","These drugs include risperidone (Risperdal®), clozapine (Clozaril®), quetiapine (Seroquel®), ziprasidone (Geodon®) and olanzapine (Zyprexa®). These medications are usually better tolerated than first-generation antipsychotics.","Tahsin Khrisat","Piazza Guglielmo Pepe 55, Loro Piceno,Macerata,62020, Italy.","physchiatrist"
"malignantneoplasms","Treatment options may include surgery, chemotherapy or radiation therapy. Early detection is key, so be sure to attend all recommended cancer screenings.","Dabrafenib Mesylate
Dostarlimab-gxly
Entrectinib
Jemperli (Dostarlimab-gxly)
Keytruda (Pembrolizumab)
Larotrectinib Sulfate
Mekinist (Trametinib Dimethyl Sulfoxide)
Pembrolizumab
Retevmo (Selpercatinib)","Mario Rossi","Via Alessandro Farnese 17,Toscanella, Bologna,40060 Italy","oncologist"
